value,location_id,date,province_id,autonomous_region_id,age_range,sex,_id
427,39075,2008-06,39,6,<25,H,39075/2008-06-01/<25/H
1750,39075,2008-06,39,6,>=45,H,39075/2008-06-01/>=45/H
1894,39075,2008-06,39,6,<25,M,39075/2008-06-01/<25/M
292,39075,2008-06,39,6,25-44,H,39075/2008-06-01/25-44/H
446,39075,2008-07,39,6,<25,H,39075/2008-07-01/<25/H
267,39075,2008-07,39,6,25-44,H,39075/2008-07-01/25-44/H
1359,39075,2008-07,39,6,25-44,M,39075/2008-07-01/25-44/M
1797,39075,2008-07,39,6,>=45,H,39075/2008-07-01/>=45/H
1945,39075,2008-07,39,6,<25,M,39075/2008-07-01/<25/M
1909,39075,2008-07,39,6,>=45,M,39075/2008-07-01/>=45/M
1901,39075,2008-08,39,6,>=45,M,39075/2008-08-01/>=45/M
1378,39075,2008-08,39,6,25-44,M,39075/2008-08-01/25-44/M
2030,39075,2008-08,39,6,<25,M,39075/2008-08-01/<25/M
467,39075,2008-08,39,6,<25,H,39075/2008-08-01/<25/H
263,39075,2008-08,39,6,25-44,H,39075/2008-08-01/25-44/H
1907,39075,2008-08,39,6,>=45,H,39075/2008-08-01/>=45/H
514,39075,2008-09,39,6,<25,H,39075/2008-09-01/<25/H
2089,39075,2008-09,39,6,<25,M,39075/2008-09-01/<25/M
313,39075,2008-09,39,6,25-44,H,39075/2008-09-01/25-44/H
2098,39075,2008-09,39,6,>=45,H,39075/2008-09-01/>=45/H
1463,39075,2008-09,39,6,25-44,M,39075/2008-09-01/25-44/M
1965,39075,2008-09,39,6,>=45,M,39075/2008-09-01/>=45/M
2256,39075,2008-10,39,6,<25,M,39075/2008-10-01/<25/M
605,39075,2008-10,39,6,<25,H,39075/2008-10-01/<25/H
1587,39075,2008-10,39,6,25-44,M,39075/2008-10-01/25-44/M
388,39075,2008-10,39,6,25-44,H,39075/2008-10-01/25-44/H
2495,39075,2008-10,39,6,>=45,H,39075/2008-10-01/>=45/H
2036,39075,2008-10,39,6,>=45,M,39075/2008-10-01/>=45/M
2443,39075,2008-11,39,6,<25,M,39075/2008-11-01/<25/M
2115,39075,2008-11,39,6,>=45,M,39075/2008-11-01/>=45/M
698,39075,2008-11,39,6,<25,H,39075/2008-11-01/<25/H
1735,39075,2008-11,39,6,25-44,M,39075/2008-11-01/25-44/M
456,39075,2008-11,39,6,25-44,H,39075/2008-11-01/25-44/H
2879,39075,2008-11,39,6,>=45,H,39075/2008-11-01/>=45/H
3114,39075,2008-12,39,6,>=45,H,39075/2008-12-01/>=45/H
1864,39075,2008-12,39,6,25-44,M,39075/2008-12-01/25-44/M
402,39075,2008-12,39,6,25-44,H,39075/2008-12-01/25-44/H
2435,39075,2008-12,39,6,<25,M,39075/2008-12-01/<25/M
668,39075,2008-12,39,6,<25,H,39075/2008-12-01/<25/H
2138,39075,2008-12,39,6,>=45,M,39075/2008-12-01/>=45/M
2764,39075,2009-01,39,6,<25,M,39075/2009-01-01/<25/M
492,39075,2009-01,39,6,25-44,H,39075/2009-01-01/25-44/H
713,39075,2009-01,39,6,<25,H,39075/2009-01-01/<25/H
3265,39075,2009-01,39,6,>=45,H,39075/2009-01-01/>=45/H
1930,39075,2009-01,39,6,25-44,M,39075/2009-01-01/25-44/M
2256,39075,2009-01,39,6,>=45,M,39075/2009-01-01/>=45/M
532,39075,2009-02,39,6,25-44,H,39075/2009-02-01/25-44/H
2912,39075,2009-02,39,6,<25,M,39075/2009-02-01/<25/M
2300,39075,2009-02,39,6,>=45,M,39075/2009-02-01/>=45/M
719,39075,2009-02,39,6,<25,H,39075/2009-02-01/<25/H
3305,39075,2009-02,39,6,>=45,H,39075/2009-02-01/>=45/H
1970,39075,2009-02,39,6,25-44,M,39075/2009-02-01/25-44/M
2022,39075,2009-03,39,6,25-44,M,39075/2009-03-01/25-44/M
