value,location_id,date,province_id,autonomous_region_id,age_range,_id
1133,39075,2013-12,39,6,<25,39075/2013-12-01/<25
8124,39075,2013-12,39,6,25-44,39075/2013-12-01/25-44
7254,39075,2013-12,39,6,>=45,39075/2013-12-01/>=45
7412,39075,2014-01,39,6,>=45,39075/2014-01-01/>=45
1135,39075,2014-01,39,6,<25,39075/2014-01-01/<25
8312,39075,2014-01,39,6,25-44,39075/2014-01-01/25-44
8038,39075,2014-02,39,6,25-44,39075/2014-02-01/25-44
1107,39075,2014-02,39,6,<25,39075/2014-02-01/<25
7285,39075,2014-02,39,6,>=45,39075/2014-02-01/>=45
1104,39075,2014-03,39,6,<25,39075/2014-03-01/<25
7861,39075,2014-03,39,6,25-44,39075/2014-03-01/25-44
7200,39075,2014-03,39,6,>=45,39075/2014-03-01/>=45
1052,39075,2014-04,39,6,<25,39075/2014-04-01/<25
7594,39075,2014-04,39,6,25-44,39075/2014-04-01/25-44
7156,39075,2014-04,39,6,>=45,39075/2014-04-01/>=45
7067,39075,2014-05,39,6,>=45,39075/2014-05-01/>=45
7386,39075,2014-05,39,6,25-44,39075/2014-05-01/25-44
1065,39075,2014-05,39,6,<25,39075/2014-05-01/<25
6991,39075,2014-06,39,6,25-44,39075/2014-06-01/25-44
945,39075,2014-06,39,6,<25,39075/2014-06-01/<25
6928,39075,2014-06,39,6,>=45,39075/2014-06-01/>=45
6819,39075,2014-07,39,6,25-44,39075/2014-07-01/25-44
949,39075,2014-07,39,6,<25,39075/2014-07-01/<25
6619,39075,2014-07,39,6,>=45,39075/2014-07-01/>=45
6558,39075,2014-08,39,6,>=45,39075/2014-08-01/>=45
946,39075,2014-08,39,6,<25,39075/2014-08-01/<25
6785,39075,2014-08,39,6,25-44,39075/2014-08-01/25-44
6900,39075,2014-09,39,6,25-44,39075/2014-09-01/25-44
6649,39075,2014-09,39,6,>=45,39075/2014-09-01/>=45
1049,39075,2014-09,39,6,<25,39075/2014-09-01/<25
6791,39075,2014-10,39,6,>=45,39075/2014-10-01/>=45
1130,39075,2014-10,39,6,<25,39075/2014-10-01/<25
7175,39075,2014-10,39,6,25-44,39075/2014-10-01/25-44
6898,39075,2014-11,39,6,>=45,39075/2014-11-01/>=45
7328,39075,2014-11,39,6,25-44,39075/2014-11-01/25-44
1180,39075,2014-11,39,6,<25,39075/2014-11-01/<25
7060,39075,2014-12,39,6,25-44,39075/2014-12-01/25-44
1031,39075,2014-12,39,6,<25,39075/2014-12-01/<25
6842,39075,2014-12,39,6,>=45,39075/2014-12-01/>=45
1057,39075,2015-01,39,6,<25,39075/2015-01-01/<25
7144,39075,2015-01,39,6,25-44,39075/2015-01-01/25-44
6948,39075,2015-01,39,6,>=45,39075/2015-01-01/>=45
6922,39075,2015-02,39,6,25-44,39075/2015-02-01/25-44
1011,39075,2015-02,39,6,<25,39075/2015-02-01/<25
6859,39075,2015-02,39,6,>=45,39075/2015-02-01/>=45
1033,39075,2015-03,39,6,<25,39075/2015-03-01/<25
6769,39075,2015-03,39,6,25-44,39075/2015-03-01/25-44
6868,39075,2015-03,39,6,>=45,39075/2015-03-01/>=45
6471,39075,2015-04,39,6,25-44,39075/2015-04-01/25-44
6741,39075,2015-04,39,6,>=45,39075/2015-04-01/>=45
984,39075,2015-04,39,6,<25,39075/2015-04-01/<25
951,39075,2015-05,39,6,<25,39075/2015-05-01/<25
6297,39075,2015-05,39,6,25-44,39075/2015-05-01/25-44
6666,39075,2015-05,39,6,>=45,39075/2015-05-01/>=45
6149,39075,2015-06,39,6,25-44,39075/2015-06-01/25-44
898,39075,2015-06,39,6,<25,39075/2015-06-01/<25
6591,39075,2015-06,39,6,>=45,39075/2015-06-01/>=45
6016,39075,2015-07,39,6,25-44,39075/2015-07-01/25-44
6638,39075,2015-07,39,6,>=45,39075/2015-07-01/>=45
823,39075,2015-07,39,6,<25,39075/2015-07-01/<25
881,39075,2015-08,39,6,<25,39075/2015-08-01/<25
6716,39075,2015-08,39,6,>=45,39075/2015-08-01/>=45
6123,39075,2015-08,39,6,25-44,39075/2015-08-01/25-44
6822,39075,2015-09,39,6,>=45,39075/2015-09-01/>=45
953,39075,2015-09,39,6,<25,39075/2015-09-01/<25
6280,39075,2015-09,39,6,25-44,39075/2015-09-01/25-44
6540,39075,2015-10,39,6,25-44,39075/2015-10-01/25-44
1024,39075,2015-10,39,6,<25,39075/2015-10-01/<25
6982,39075,2015-10,39,6,>=45,39075/2015-10-01/>=45
6994,39075,2015-11,39,6,>=45,39075/2015-11-01/>=45
1024,39075,2015-11,39,6,<25,39075/2015-11-01/<25
6604,39075,2015-11,39,6,25-44,39075/2015-11-01/25-44
6612,39075,2015-12,39,6,25-44,39075/2015-12-01/25-44
968,39075,2015-12,39,6,<25,39075/2015-12-01/<25
7022,39075,2015-12,39,6,>=45,39075/2015-12-01/>=45
963,39075,2016-01,39,6,<25,39075/2016-01-01/<25
6965,39075,2016-01,39,6,25-44,39075/2016-01-01/25-44
7232,39075,2016-01,39,6,>=45,39075/2016-01-01/>=45
1018,39075,2016-02,39,6,<25,39075/2016-02-01/<25
6928,39075,2016-02,39,6,25-44,39075/2016-02-01/25-44
7210,39075,2016-02,39,6,>=45,39075/2016-02-01/>=45
970,39075,2016-03,39,6,<25,39075/2016-03-01/<25
7018,39075,2016-03,39,6,>=45,39075/2016-03-01/>=45
6542,39075,2016-03,39,6,25-44,39075/2016-03-01/25-44
6909,39075,2016-04,39,6,>=45,39075/2016-04-01/>=45
923,39075,2016-04,39,6,<25,39075/2016-04-01/<25
6362,39075,2016-04,39,6,25-44,39075/2016-04-01/25-44
6194,39075,2016-05,39,6,25-44,39075/2016-05-01/25-44
6766,39075,2016-05,39,6,>=45,39075/2016-05-01/>=45
890,39075,2016-05,39,6,<25,39075/2016-05-01/<25
807,39075,2016-06,39,6,<25,39075/2016-06-01/<25
6597,39075,2016-06,39,6,>=45,39075/2016-06-01/>=45
5749,39075,2016-06,39,6,25-44,39075/2016-06-01/25-44
741,39075,2016-07,39,6,<25,39075/2016-07-01/<25
6489,39075,2016-07,39,6,>=45,39075/2016-07-01/>=45
5371,39075,2016-07,39,6,25-44,39075/2016-07-01/25-44
5456,39075,2016-08,39,6,25-44,39075/2016-08-01/25-44
6467,39075,2016-08,39,6,>=45,39075/2016-08-01/>=45
732,39075,2016-08,39,6,<25,39075/2016-08-01/<25
817,39075,2016-09,39,6,<25,39075/2016-09-01/<25
6602,39075,2016-09,39,6,>=45,39075/2016-09-01/>=45
5662,39075,2016-09,39,6,25-44,39075/2016-09-01/25-44
865,39075,2016-10,39,6,<25,39075/2016-10-01/<25
5861,39075,2016-10,39,6,25-44,39075/2016-10-01/25-44
6659,39075,2016-10,39,6,>=45,39075/2016-10-01/>=45
